refinement_iterations,use_feedback,small_object_threshold,large_object_threshold,small_kernel_size,medium_kernel_size,large_kernel_size,mean_dice,median_dice,min_dice,max_dice,std_dice,processing_time,samples_per_second,class_2_dice,class_3_dice,config
3,True,0.01,0.2,3,3,5,0.5164679055085749,0.7992481666243485,0.0,1.0,0.42691364581820856,5.8782782554626465,6.804713601780973,0.6532056606649487,0.3797301503522009,baseline
2,True,0.005,0.15,3,3,5,0.5096961004276794,0.7992481666243485,0.0,1.0,0.4244302151004472,1.8151459693908691,22.036795207948643,0.6469649025201486,0.3724272983352102,combo_1
2,True,0.005,0.15,3,3,7,0.5096961004276794,0.7992481666243485,0.0,1.0,0.4244302151004472,1.8859567642211914,21.209393957935223,0.6469649025201486,0.3724272983352102,combo_2
2,True,0.005,0.15,3,5,5,0.49725141253939575,0.777167796641481,0.0,1.0,0.4139701291499696,1.6565697193145752,24.14628224434192,0.6328739960736584,0.36162882900513327,combo_3
2,True,0.005,0.15,3,5,7,0.49725141253939575,0.777167796641481,0.0,1.0,0.4139701291499696,1.5358922481536865,26.043493642268494,0.6328739960736584,0.36162882900513327,combo_4
2,True,0.005,0.15,5,3,5,0.510766244160781,0.7992481666243485,0.0,1.0,0.42510147117910574,1.5398805141448975,25.97604140877916,0.6491051899863516,0.3724272983352102,combo_5
2,True,0.005,0.15,5,3,7,0.510766244160781,0.7992481666243485,0.0,1.0,0.42510147117910574,1.5329005718231201,26.094321272531666,0.6491051899863516,0.3724272983352102,combo_6
2,True,0.005,0.15,5,5,5,0.4990555446108246,0.777167796641481,0.0,1.0,0.415420711120544,1.5358927249908447,26.04348555673928,0.6364822602165161,0.36162882900513327,combo_7
2,True,0.005,0.15,5,5,7,0.4990555446108246,0.777167796641481,0.0,1.0,0.415420711120544,1.5329012870788574,26.094309096853326,0.6364822602165161,0.36162882900513327,combo_8
2,True,0.005,0.2,3,3,5,0.5096961004276794,0.7992481666243485,0.0,1.0,0.4244302151004472,1.5349183082580566,26.06001881976056,0.6469649025201486,0.3724272983352102,combo_9
2,True,0.005,0.2,3,3,7,0.5096961004276794,0.7992481666243485,0.0,1.0,0.4244302151004472,1.5368890762329102,26.02660180137694,0.6469649025201486,0.3724272983352102,combo_10
2,True,0.005,0.2,3,5,5,0.49725141253939575,0.777167796641481,0.0,1.0,0.4139701291499696,1.5338969230651855,26.07737156162229,0.6328739960736584,0.36162882900513327,combo_11
2,True,0.005,0.2,3,5,7,0.49725141253939575,0.777167796641481,0.0,1.0,0.4139701291499696,1.550851583480835,25.792281109338216,0.6328739960736584,0.36162882900513327,combo_12
2,True,0.005,0.2,5,3,5,0.510766244160781,0.7992481666243485,0.0,1.0,0.42510147117910574,1.5378880500793457,26.009695567851146,0.6491051899863516,0.3724272983352102,combo_13
