refinement_iterations,use_feedback,small_object_threshold,large_object_threshold,small_kernel_size,medium_kernel_size,large_kernel_size,mean_dice,median_dice,min_dice,max_dice,std_dice,processing_time,samples_per_second,class_2_dice,class_3_dice,config
3,True,0.01,0.2,3,3,5,0.5036990991940338,0.7363941004384615,0.0,1.0,0.41690504281182805,5.758861064910889,6.945817853415943,0.6710661843865694,0.3363320140014979,baseline
2,True,0.005,0.15,3,3,5,0.4899868948974202,0.6862293249759475,0.0,1.0,0.41092173155022027,1.5664970874786377,25.53467881921324,0.6492643483981851,0.33070944139665504,combo_1
2,True,0.005,0.15,3,3,7,0.4899868948974202,0.6862293249759475,0.0,1.0,0.41092173155022027,1.5571861267089844,25.687359599418922,0.6492643483981851,0.33070944139665504,combo_2
2,True,0.005,0.15,3,5,5,0.4769228816028077,0.6525112635793651,0.0,1.0,0.4031574264723254,1.6378037929534912,24.422949911397527,0.6398952968819056,0.31395046632370976,combo_3
2,True,0.005,0.15,3,5,7,0.4769228816028077,0.6525112635793651,0.0,1.0,0.4031574264723254,1.6905131340026855,23.661454735516095,0.6398952968819056,0.31395046632370976,combo_4
2,True,0.005,0.15,5,3,5,0.4945104060071923,0.6895501934802672,0.0,1.0,0.4110163618786874,1.6765170097351074,23.858988467000444,0.6535140343320759,0.3355067776823085,combo_5
2,True,0.005,0.15,5,3,7,0.4945104060071923,0.6895501934802672,0.0,1.0,0.4110163618786874,1.6795086860656738,23.816488912422262,0.6535140343320759,0.3355067776823085,combo_6
2,True,0.005,0.15,5,5,5,0.48144639271257983,0.6525112635793651,0.0,1.0,0.40340039812833856,1.679508924484253,23.816485531497417,0.6441449828157965,0.31874780260936325,combo_7
2,True,0.005,0.15,5,5,7,0.48144639271257983,0.6525112635793651,0.0,1.0,0.40340039812833856,1.6765408515930176,23.858649171592063,0.6441449828157965,0.31874780260936325,combo_8
2,True,0.005,0.2,3,3,5,0.4899868948974202,0.6862293249759475,0.0,1.0,0.41092173155022027,1.6854920387268066,23.73194241262353,0.6492643483981851,0.33070944139665504,combo_9
