refinement_iterations,use_feedback,small_object_threshold,large_object_threshold,small_kernel_size,medium_kernel_size,large_kernel_size,mean_dice,median_dice,min_dice,max_dice,std_dice,processing_time,samples_per_second,class_2_dice,class_3_dice,config
3,True,0.01,0.2,3,3,5,0.4977198039727707,0.644267150518985,0.0,0.9331456720619282,0.37746571636426807,5.9461586475372314,6.727032084246041,0.4856923118855274,0.509747296060014,baseline
2,True,0.005,0.15,3,3,5,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5358920097351074,26.043497685034986,0.4827392047489914,0.5195077762192807,combo_1
2,True,0.005,0.15,3,3,7,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5616583824157715,25.61379649377793,0.4827392047489914,0.5195077762192807,combo_2
2,True,0.005,0.15,3,5,5,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5538437366485596,25.742614303208402,0.4801478006320302,0.5107925050613958,combo_3
2,True,0.005,0.15,3,5,7,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5418763160705566,25.94241806757838,0.4801478006320302,0.5107925050613958,combo_4
2,True,0.005,0.15,5,3,5,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5658130645751953,25.54583360233489,0.4827392047489914,0.5195077762192807,combo_5
2,True,0.005,0.15,5,3,7,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5348944664001465,26.06042361584227,0.4827392047489914,0.5195077762192807,combo_6
2,True,0.005,0.15,5,5,5,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.558562994003296,25.66466684625736,0.4801478006320302,0.5107925050613958,combo_7
2,True,0.005,0.15,5,5,7,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5389418601989746,25.991885096184383,0.4801478006320302,0.5107925050613958,combo_8
2,True,0.005,0.2,3,3,5,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5288887023925781,26.16279388905384,0.4827392047489914,0.5195077762192807,combo_9
2,True,0.005,0.2,3,3,7,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5389480590820312,25.991780400866578,0.4827392047489914,0.5195077762192807,combo_10
2,True,0.005,0.2,3,5,5,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5288987159729004,26.162622534839645,0.4801478006320302,0.5107925050613958,combo_11
2,True,0.005,0.2,3,5,7,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5289666652679443,26.161459833390275,0.4801478006320302,0.5107925050613958,combo_12
2,True,0.005,0.2,5,3,5,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5388729572296143,25.99304888170286,0.4827392047489914,0.5195077762192807,combo_13
2,True,0.005,0.2,5,3,7,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5289840698242188,26.16116203525825,0.4827392047489914,0.5195077762192807,combo_14
2,True,0.005,0.2,5,5,5,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5288505554199219,26.163446687575945,0.4801478006320302,0.5107925050613958,combo_15
2,True,0.005,0.2,5,5,7,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5289137363433838,26.162365507726896,0.4801478006320302,0.5107925050613958,combo_16
2,True,0.005,0.25,3,3,5,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.5402112007141113,25.97046429830805,0.4827392047489914,0.5195077762192807,combo_17
2,True,0.005,0.25,3,3,7,0.5011234904841361,0.662335284489694,0.0,0.9331456720619282,0.37993981708901653,1.531754732131958,26.113841309519824,0.4827392047489914,0.5195077762192807,combo_18
2,True,0.005,0.25,3,5,5,0.495470152846713,0.6440706256119386,0.0,0.9251497005988024,0.3768213568792218,1.5355048179626465,26.050064794373743,0.4801478006320302,0.5107925050613958,combo_19
